Роман           NOUN,inan,masc sing,nomn
был             VERB,impf,intr masc,sing,past,indc
у               PREP
нас             NPRO,1per plur,gent
переведен       PRTS,perf,past,pssv masc,sing
в               PREP
1963-м          NOUN,inan,masc,Fixd sing,nomn / NOUN,inan,masc,Fixd sing,gent / NOUN,inan,masc,Fixd sing,ablt / NOUN,inan,masc,Fixd plur,gent / NOUN,inan,masc,Fixd sing,datv / NOUN,inan,masc,Fixd sing,accs / NOUN,inan,masc,Fixd sing,loct / NOUN,inan,masc,Fixd plur,nomn / NOUN,inan,masc,Fixd plur,datv / NOUN,inan,masc,Fixd plur,accs / NOUN,inan,masc,Fixd plur,ablt / NOUN,inan,masc,Fixd plur,loct
,               PNCT
Дёблин          NOUN,anim,masc,Sgtm,Surn sing,nomn
симпатизировал  VERB,impf,intr masc,sing,past,indc
Восточной       ADJF,Qual femn,sing,datv
Германии        NOUN,inan,femn,Sgtm,Geox sing,datv
и               CONJ
поддерживал     VERB,impf,tran masc,sing,past,indc
отношения       NOUN,inan,neut plur,accs
с               PREP
культурными     ADJF,Qual plur,ablt
деятелями       NOUN,anim,masc plur,ablt
ГДР             NOUN,inan,femn,Fixd,Geox sing,gent
,               PNCT
следовательно   CONJ,Prnt
,               PNCT
был             VERB,impf,intr masc,sing,past,indc
идеологически   ADVB
приемлем        ADJS,Qual masc,sing
.               PNCT
